ptcp_ID, trial_ID, phrase_ID, time(s), rel_time(s), text, rel_text
4444,eskpqtmpgq,P1,1580840744.45475,0,,
4444,eskpqtmpgq,P1,1580840746.725853,2.2711029052734375,i,i
4444,eskpqtmpgq,P1,1580840746.908366,2.45361590385437,il,l
4444,eskpqtmpgq,P1,1580840747.037768,2.5830178260803223,ill,l
4444,eskpqtmpgq,P1,1580840747.1549308,2.700180768966675,ill , 
4444,eskpqtmpgq,P1,1580840747.2822,2.8274500370025635,ill b,b
4444,eskpqtmpgq,P1,1580840747.321114,2.866364002227783,ill be,e
4444,eskpqtmpgq,P1,1580840747.410648,2.9558980464935303,ill be , 
4444,eskpqtmpgq,P1,1580840747.49942,3.0446698665618896,ill be t,t
4444,eskpqtmpgq,P1,1580840747.5510132,3.0962631702423096,ill be th,h
4444,eskpqtmpgq,P1,1580840747.668211,3.213460922241211,ill be the,e
4444,eskpqtmpgq,P1,1580840747.822169,3.3674190044403076,ill be ther,r
4444,eskpqtmpgq,P1,1580840747.9652128,3.510462760925293,ill be there,e
4444,eskpqtmpgq,P1,1580840747.9906518,3.5359017848968506,ill be there , 
4444,eskpqtmpgq,P1,1580840748.1329799,3.678229808807373,ill be there i,i
4444,eskpqtmpgq,P1,1580840748.289425,3.834674835205078,ill be there in,n
4444,eskpqtmpgq,P1,1580840748.4307158,3.975965738296509,ill be there in , 
4444,eskpqtmpgq,P1,1580840748.5350132,4.080263137817383,ill be there in 5,5
4444,eskpqtmpgq,P1,1580840748.5862541,4.131504058837891,ill be there in 5 , 
4444,eskpqtmpgq,P1,1580840748.742613,4.28786301612854,ill be there in 5 m,m
4444,eskpqtmpgq,P1,1580840748.9112709,4.4565207958221436,ill be there in 5 mi,i
4444,eskpqtmpgq,P1,1580840749.070011,4.61526083946228,ill be there in 5 min,n
4444,eskpqtmpgq,P1,1580840749.237893,4.783143043518066,ill be there in 5 minu,u
4444,eskpqtmpgq,P1,1580840749.277816,4.823065996170044,ill be there in 5 minut,t
4444,eskpqtmpgq,P1,1580840749.484129,5.029378890991211,ill be there in 5 minute,e
4444,eskpqtmpgq,P1,1580840749.652982,5.198231935501099,ill be there in 5 minutes,s
4444,eskpqtmpgq,P1,1580840750.1930299,5.738279819488525,,
4444,arqfdgcvfu,P2,1580840751.177412,0,,
4444,arqfdgcvfu,P2,1580840757.53289,6.355478048324585,i,i
4444,arqfdgcvfu,P2,1580840757.64926,6.471848011016846,i , 
4444,arqfdgcvfu,P2,1580840757.7625349,6.58512282371521,i j,j
4444,arqfdgcvfu,P2,1580840757.915482,6.738070011138916,i ju,u
4444,arqfdgcvfu,P2,1580840758.020276,6.842864036560059,i jus,s
4444,arqfdgcvfu,P2,1580840758.1239638,6.94655179977417,i just,t
4444,arqfdgcvfu,P2,1580840758.226007,7.048594951629639,i just , 
4444,arqfdgcvfu,P2,1580840758.3823612,7.204949140548706,i just o,o
4444,arqfdgcvfu,P2,1580840758.498781,7.321368932723999,i just oa,a
4444,arqfdgcvfu,P2,1580840758.664557,7.487144947052002,i just oas,s
4444,arqfdgcvfu,P2,1580840758.806627,7.6292150020599365,i just oass,s
4444,arqfdgcvfu,P2,1580840759.095019,7.917607069015503,i just oas,
4444,arqfdgcvfu,P2,1580840759.250716,8.073303937911987,i just oa,
4444,arqfdgcvfu,P2,1580840759.403958,8.226546049118042,i just o,
4444,arqfdgcvfu,P2,1580840759.575,8.397588014602661,i just ,
4444,arqfdgcvfu,P2,1580840759.937133,8.759721040725708,i just p,p
4444,arqfdgcvfu,P2,1580840760.021481,8.844069004058838,i just pa,a
4444,arqfdgcvfu,P2,1580840760.1638222,8.986410140991211,i just pas,s
4444,arqfdgcvfu,P2,1580840760.319345,9.141932964324951,i just pass,s
4444,arqfdgcvfu,P2,1580840760.498256,9.320843935012817,i just passe,e
4444,arqfdgcvfu,P2,1580840760.6528058,9.475393772125244,i just passed,d
4444,arqfdgcvfu,P2,1580840760.7566059,9.579193830490112,i just passed , 
4444,arqfdgcvfu,P2,1580840760.834026,9.656614065170288,i just passed t,t
4444,arqfdgcvfu,P2,1580840760.951107,9.77369499206543,i just passed th,h
4444,arqfdgcvfu,P2,1580840761.01557,9.838157892227173,i just passed the,e
4444,arqfdgcvfu,P2,1580840761.119848,9.94243597984314,i just passed the , 
4444,arqfdgcvfu,P2,1580840761.1976068,10.02019476890564,i just passed the s,s
4444,arqfdgcvfu,P2,1580840761.298432,10.121020078659058,i just passed the st,t
4444,arqfdgcvfu,P2,1580840761.516434,10.339021921157837,i just passed the sto,o
4444,arqfdgcvfu,P2,1580840761.595047,10.417634963989258,i just passed the stor,r
4444,arqfdgcvfu,P2,1580840761.7887821,10.611370086669922,i just passed the store,e
4444,arqfdgcvfu,P2,1580840762.5156028,11.338190793991089,,
4444,vaufrobola,P3,1580840763.868646,0,,
4444,vaufrobola,P3,1580840765.1419652,1.2733192443847656,l,l
4444,vaufrobola,P3,1580840765.21912,1.3504741191864014,le,e
4444,vaufrobola,P3,1580840765.409705,1.5410590171813965,let,t
4444,vaufrobola,P3,1580840765.548299,1.6796531677246094,let','
4444,vaufrobola,P3,1580840765.6261828,1.7575368881225586,let's,s
4444,vaufrobola,P3,1580840765.7428749,1.8742289543151855,let's , 
4444,vaufrobola,P3,1580840765.897218,2.0285720825195312,let's h,h
4444,vaufrobola,P3,1580840765.9502442,2.0815982818603516,let's ha,a
4444,vaufrobola,P3,1580840766.0791738,2.2105278968811035,let's han,n
4444,vaufrobola,P3,1580840766.180342,2.3116960525512695,let's hang,g
4444,vaufrobola,P3,1580840766.2707012,2.402055263519287,let's hang , 
4444,vaufrobola,P3,1580840766.387358,2.518712043762207,let's hang o,o
4444,vaufrobola,P3,1580840766.555059,2.686413049697876,let's hang ou,u
4444,vaufrobola,P3,1580840766.632599,2.76395320892334,let's hang out,t
4444,vaufrobola,P3,1580840766.708708,2.840062141418457,let's hang out , 
4444,vaufrobola,P3,1580840766.852803,2.984157085418701,let's hang out t,t
4444,vaufrobola,P3,1580840766.953891,3.085245132446289,let's hang out to,o
4444,vaufrobola,P3,1580840767.134241,3.2655951976776123,let's hang out tod,d
4444,vaufrobola,P3,1580840767.355517,3.4868710041046143,let's hang out toda,a
4444,vaufrobola,P3,1580840767.44622,3.5775740146636963,let's hang out today,y
4444,vaufrobola,P3,1580840768.392542,4.523895978927612,,
4444,oyiisnyppn,1,1580840769.259757,0,,
4444,oyiisnyppn,1,1580840770.652065,1.392307996749878,i,i
4444,oyiisnyppn,1,1580840770.845642,1.5858850479125977,i','
4444,oyiisnyppn,1,1580840771.025013,1.7652559280395508,i'm,m
4444,oyiisnyppn,1,1580840771.167037,1.9072799682617188,i'm , 
4444,oyiisnyppn,1,1580840771.270315,2.0105578899383545,i'm d,d
4444,oyiisnyppn,1,1580840771.463069,2.2033119201660156,i'm dr,r
4444,oyiisnyppn,1,1580840771.619898,2.3601410388946533,i'm dri,i
4444,oyiisnyppn,1,1580840771.915669,2.655911922454834,i'm driv,v
4444,oyiisnyppn,1,1580840771.979904,2.720146894454956,i'm drivi,i
4444,oyiisnyppn,1,1580840772.136687,2.876929998397827,i'm drivin,n
4444,oyiisnyppn,1,1580840772.21463,2.9548728466033936,i'm driving,g
4444,oyiisnyppn,1,1580840772.3193321,3.059575080871582,i'm driving , 
4444,oyiisnyppn,1,1580840772.4715369,3.211779832839966,i'm driving a,a
4444,oyiisnyppn,1,1580840772.5623739,3.302616834640503,i'm driving an,n
4444,oyiisnyppn,1,1580840772.651725,3.391968011856079,i'm driving and,d
4444,oyiisnyppn,1,1580840772.703434,3.4436769485473633,i'm driving and , 
4444,oyiisnyppn,1,1580840772.8583832,3.598626136779785,i'm driving and t,t
4444,oyiisnyppn,1,1580840772.922348,3.662590980529785,i'm driving and te,e
4444,oyiisnyppn,1,1580840773.115197,3.8554399013519287,i'm driving and tex,x
4444,oyiisnyppn,1,1580840773.192788,3.933030843734741,i'm driving and text,t
4444,oyiisnyppn,1,1580840773.390062,4.130305051803589,i'm driving and texti,i
4444,oyiisnyppn,1,1580840773.567754,4.307996988296509,i'm driving and textin,n
4444,oyiisnyppn,1,1580840773.671082,4.411324977874756,i'm driving and texting,g
4444,oyiisnyppn,1,1580840774.502083,5.242326021194458,,
4444,bqjxpefqnu,2,1580840775.274981,0,,
4444,bqjxpefqnu,2,1580840776.759543,1.4845619201660156,d,d
4444,bqjxpefqnu,2,1580840776.836032,1.5610508918762207,do,o
4444,bqjxpefqnu,2,1580840776.967571,1.6925899982452393,do , 
4444,bqjxpefqnu,2,1580840777.0572438,1.7822628021240234,do w,w
4444,bqjxpefqnu,2,1580840777.211159,1.9361779689788818,do we,e
4444,bqjxpefqnu,2,1580840777.2619982,1.9870171546936035,do we , 
4444,bqjxpefqnu,2,1580840777.413037,2.1380560398101807,do we h,h
4444,bqjxpefqnu,2,1580840777.464285,2.1893038749694824,do we ha,a
4444,bqjxpefqnu,2,1580840777.6061041,2.331123113632202,do we hav,v
4444,bqjxpefqnu,2,1580840777.658717,2.3837358951568604,do we have,e
4444,bqjxpefqnu,2,1580840777.748716,2.4737350940704346,do we have , 
4444,bqjxpefqnu,2,1580840777.874733,2.5997519493103027,do we have m,m
4444,bqjxpefqnu,2,1580840778.0672598,2.79227876663208,do we have mi,i
4444,bqjxpefqnu,2,1580840778.219077,2.944096088409424,do we have mil,l
4444,bqjxpefqnu,2,1580840778.374757,3.099776029586792,do we have milk,k
4444,bqjxpefqnu,2,1580840778.590992,3.3160109519958496,do we have milk,
4444,bqjxpefqnu,2,1580840778.591219,3.3162379264831543,do we have milk?,?
4444,bqjxpefqnu,2,1580840779.516354,4.241373062133789,,
