ptcp_ID, trial_ID, phrase_ID, time(s), rel_time(s), text, rel_text
2222,htsgusidlu,P1,1580838643.014059,0,,
2222,htsgusidlu,P1,1580838644.340068,1.3260090351104736,,
2222,htsgusidlu,P1,1580838644.340318,1.326258897781372,I,I
2222,htsgusidlu,P1,1580838644.53631,1.5222508907318115,Il,l
2222,htsgusidlu,P1,1580838644.6820831,1.6680240631103516,Ill,l
2222,htsgusidlu,P1,1580838644.7846029,1.7705438137054443,Ill , 
2222,htsgusidlu,P1,1580838644.900464,1.8864049911499023,Ill b,b
2222,htsgusidlu,P1,1580838644.952808,1.938748836517334,Ill be,e
2222,htsgusidlu,P1,1580838645.0423832,2.0283241271972656,Ill be , 
2222,htsgusidlu,P1,1580838645.143683,2.1296238899230957,Ill be t,t
2222,htsgusidlu,P1,1580838645.209972,2.1959128379821777,Ill be th,h
2222,htsgusidlu,P1,1580838645.327617,2.3135578632354736,Ill be the,e
2222,htsgusidlu,P1,1580838645.48607,2.472010850906372,Ill be ther,r
2222,htsgusidlu,P1,1580838645.6274838,2.613424777984619,Ill be there,e
2222,htsgusidlu,P1,1580838645.707336,2.693276882171631,Ill be there , 
2222,htsgusidlu,P1,1580838645.824725,2.8106658458709717,Ill be there i,i
2222,htsgusidlu,P1,1580838645.992936,2.978876829147339,Ill be there in,n
2222,htsgusidlu,P1,1580838646.121807,3.107748031616211,Ill be there in , 
2222,htsgusidlu,P1,1580838646.1976151,3.183556079864502,Ill be there in 5,5
2222,htsgusidlu,P1,1580838646.260857,3.246798038482666,Ill be there in 5 , 
2222,htsgusidlu,P1,1580838646.416268,3.4022090435028076,Ill be there in 5 m,m
2222,htsgusidlu,P1,1580838646.585978,3.5719189643859863,Ill be there in 5 mi,i
2222,htsgusidlu,P1,1580838646.728713,3.714653968811035,Ill be there in 5 min,n
2222,htsgusidlu,P1,1580838646.900126,3.8860669136047363,Ill be there in 5 minu,u
2222,htsgusidlu,P1,1580838646.96467,3.950610876083374,Ill be there in 5 minut,t
2222,htsgusidlu,P1,1580838647.1568909,4.142831802368164,Ill be there in 5 minute,e
2222,htsgusidlu,P1,1580838647.32424,4.310180902481079,Ill be there in 5 minutes,s
2222,htsgusidlu,P1,1580838648.136878,5.122818946838379,,
